SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Turdus merula,0,1,0,0,0,0,0,1,0,0,0
Turdus poliocephalus,1,0,0,0,0,1,0,0,0,0,0
Yuhina bakeri,0,0,0,0,0,1,0,0,1,0,0
Zoothera aurea,0,0,0,0,1,1,0,0,0,0,0
Zoothera dauma,0,0,0,0,0,1,0,0,0,1,0
Zoothera marginata,0,0,0,0,0,1,0,0,1,0,0
Zoothera mollissima,0,0,0,0,0,0,0,0,1,1,0
Zoothera monticola,0,0,0,0,0,1,0,0,1,0,0
Zoothera salimalii,0,0,0,0,0,0,0,0,1,1,0
Cyanoderma ambiguum,0,0,0,0,0,1,0,0,1,0,0
Alcippe fratercula,0,0,0,0,0,1,0,0,0,1,0
Pterorhinus ruficollis,0,0,0,0,0,1,0,0,1,0,0
Pterorhinus lanceolatus,0,0,0,0,0,1,0,0,0,1,0
Pterorhinus davidi,0,0,0,0,1,0,0,0,0,1,0
Pterorhinus berthemyi,0,0,0,0,0,1,0,0,0,1,0
Pterorhinus perspicillatus,0,0,0,0,1,1,0,0,0,0,0
Pterorhinus sannio,0,0,0,0,1,1,0,0,0,0,0
Pterorhinus gularis,0,0,0,0,0,1,0,0,1,0,0
Ianthocincla maxima,0,0,0,0,0,0,0,0,1,1,0
Ianthocincla ocellata,0,0,0,0,0,0,0,0,1,1,0
Ianthocincla rufogularis,0,0,0,0,1,0,0,0,0,1,0
Argya striata,0,0,0,0,0,1,0,0,1,0,0
Actinodura souliei,0,0,0,0,0,1,0,0,0,1,0
Actinodura waldeni,0,0,0,0,0,1,0,0,1,0,0
Staphida castaniceps,0,0,0,0,0,1,0,0,1,0,0
Pericrocotus cantonensis,0,0,0,0,1,1,0,0,0,0,0
Pica serica,0,0,0,0,1,1,0,0,0,0,0
Corvus levaillantii,0,0,0,0,0,1,0,0,1,0,0
Acanthis hornemanni,0,1,0,1,0,0,0,0,0,0,0
Carpodacus davidianus,0,0,0,0,1,0,1,0,0,0,0
Copsychus malabaricus,0,0,0,0,0,1,0,0,1,0,0
Muscicapa striata,0,1,0,0,0,0,1,0,0,0,0
Muscicapa muttui,0,0,0,0,1,1,0,0,0,0,0
Larvivora cyane,0,1,0,0,1,0,0,0,0,0,0
Luscinia phaenicuroides,0,0,0,0,0,0,0,0,1,1,0
Luscinia megarhynchos,0,1,0,0,0,0,0,1,0,0,0
Irania gutturalis,0,1,0,0,0,0,0,1,0,0,0
Calliope calliope,0,1,0,0,0,0,0,0,0,0,1
Calliope tschebaiewi,0,0,0,0,0,0,0,0,1,1,0
Calliope pectoralis,0,0,0,0,0,0,1,0,1,0,0
Calliope pectardens,0,0,0,0,0,0,0,0,1,1,0
Oenanthe isabellina,0,0,0,0,0,0,1,1,0,0,0
Oenanthe oenanthe,0,1,0,0,0,0,1,0,0,0,0
Oenanthe hispanica,0,1,1,0,0,0,0,0,0,0,0
Phoenicurus auroreus,0,0,0,0,1,0,0,0,0,1,0
Phoenicurus alaschanicus,0,0,0,0,1,0,0,0,0,0,1
Ficedula semitorquata,0,1,0,0,0,0,0,1,0,0,0
Ficedula superciliaris,0,0,0,0,0,0,0,0,1,1,0
Ficedula mugimaki,0,1,0,0,1,0,0,0,0,0,0
Cyornis glaucicomans,0,0,0,0,0,1,0,0,0,1,0
Poecile weigoldicus,0,0,0,0,0,0,0,0,0,1,1
Parus cinereus,0,0,0,0,0,1,0,0,1,0,0
Cephalopyrus flammiceps,0,0,0,0,0,0,0,0,1,1,0
Tetrastes sewerzowi,0,0,0,0,0,0,0,0,0,1,1
Synoicus chinensis,1,0,0,0,0,1,0,0,0,0,0
Alcurus striatus,0,0,0,0,0,1,0,0,1,0,0
Rubigula flaviventris,0,0,0,0,0,1,0,0,1,0,0
Turdus ruficollis,0,1,0,0,0,0,1,0,0,0,0
Turdus mupinensis,0,0,0,0,1,0,0,0,0,1,0
Phylloscopus kansuensis,0,0,0,0,0,0,0,0,0,1,1
Phylloscopus proregulus,0,1,0,0,1,0,0,0,0,0,0
Phylloscopus occisinensis,0,0,0,0,0,0,0,0,0,1,1
Phylloscopus schwarzi,0,1,0,0,1,0,0,0,0,0,0
Phylloscopus orientalis,0,1,0,0,0,0,0,1,0,0,0
Phylloscopus ricketti,0,0,0,0,0,1,0,0,0,1,0
Phylloscopus magnirostris,0,0,0,0,0,0,0,0,1,1,0
Phylloscopus coronatus,0,0,0,0,1,0,0,0,0,1,0
Phylloscopus omeiensis,0,0,0,0,0,1,0,0,0,1,0
Phylloscopus soror,0,0,0,0,0,1,0,0,0,1,0
Urosphena pallidipes,0,0,0,0,0,1,0,0,1,0,0
Locustella idonea,0,0,0,0,0,1,0,0,1,0,0
Locustella thoracica,0,0,0,0,0,0,0,0,1,1,0
Locustella major,0,0,0,0,0,0,1,0,1,0,0
Locustella naevia,0,1,0,0,0,0,1,0,0,0,0
Locustella luscinioides,0,1,0,0,0,0,0,1,0,0,0
Locustella lanceolata,0,1,0,0,1,0,0,0,0,0,0
Helopsaltes amnicola,0,1,0,0,1,0,0,0,0,0,0
Acritillas indica,0,0,0,0,0,1,0,0,0,0,0
Actinodura ramsayi,0,0,0,0,0,1,0,0,0,0,0
Aegithalos bonvaloti,0,0,0,0,0,0,0,0,0,1,0
Aegithalos iouschistos,0,0,0,0,0,0,0,0,1,0,0
Aegithalos niveogularis,0,0,0,0,0,0,0,0,1,0,0
Afropavo congensis,0,0,1,0,0,0,0,0,0,0,0
Alcippe brunneicauda,0,0,0,0,0,1,0,0,0,0,0
Alcippe grotei,0,0,0,0,0,1,0,0,0,0,0
Alcippe morrisonia,0,0,0,0,0,1,0,0,0,0,0
Alcippe peracensis,0,0,0,0,0,1,0,0,0,0,0
Alcippe poioicephala,0,0,0,0,0,1,0,0,0,0,0
Alcippe pyrrhoptera,0,0,0,0,0,1,0,0,0,0,0
Alectoris barbara,0,0,1,0,0,0,0,0,0,0,0
Alectoris graeca,0,1,0,0,0,0,0,0,0,0,0
Alectoris melanocephala,0,0,0,0,0,0,0,1,0,0,0
Alectoris philbyi,0,0,0,0,0,0,0,1,0,0,0
Alectoris rufa,0,1,0,0,0,0,0,0,0,0,0
Alethe castanea,0,0,1,0,0,0,0,0,0,0,0
Alethe diademata,0,0,1,0,0,0,0,0,0,0,0
Alophoixus bres,0,0,0,0,0,1,0,0,0,0,0
Alophoixus frater,0,0,0,0,0,1,0,0,0,0,0
Alophoixus ochraceus,0,0,0,0,0,1,0,0,0,0,0
Alophoixus pallidus,0,0,0,0,0,1,0,0,0,0,0
Alophoixus phaeocephalus,0,0,0,0,0,1,0,0,0,0,0
Andropadus importunus,0,0,1,0,0,0,0,0,0,0,0
Anthipes solitaris,0,0,0,0,0,1,0,0,0,0,0
Aphelocoma californica,0,0,0,1,0,0,0,0,0,0,0
Aphelocoma coerulescens,0,0,0,1,0,0,0,0,0,0,0
Aphelocoma ultramarina,0,0,0,1,0,0,0,0,0,0,0
Aphelocoma unicolor,0,0,0,1,0,0,0,0,0,0,0
Arborophila ardens,0,0,0,0,0,1,0,0,0,0,0
Arborophila brunneopectus,0,0,0,0,0,1,0,0,0,0,0
Arborophila crudigularis,0,0,0,0,0,1,0,0,0,0,0
Arborophila gingica,0,0,0,0,0,1,0,0,0,0,0
Arborophila javanica,0,0,0,0,0,1,0,0,0,0,0
Arborophila rufipectus,0,0,0,0,0,0,0,0,0,1,0
Argusianus argus,0,0,0,0,0,1,0,0,0,0,0
Argya altirostris,0,0,0,0,0,0,0,1,0,0,0
Argya aylmeri,0,0,1,0,0,0,0,0,0,0,0
Argya fulva,0,0,1,0,0,0,0,0,0,0,0
Argya malcolmi,0,0,0,0,0,1,0,0,0,0,0
Argya rubiginosa,0,0,1,0,0,0,0,0,0,0,0
Argya squamiceps,0,0,0,0,0,0,0,1,0,0,0
Argya subrufa,0,0,0,0,0,1,0,0,0,0,0
Arizelocichla chlorigula,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla fusciceps,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla masukuensis,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla milanjensis,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla neumanni,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla nigriceps,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla striifacies,0,0,1,0,0,0,0,0,0,0,0
Arizelocichla tephrolaema,0,0,1,0,0,0,0,0,0,0,0
Atimastillas flavicollis,0,0,1,0,0,0,0,0,0,0,0
Baeolophus atricristatus,0,0,0,1,0,0,0,0,0,0,0
Baeolophus bicolor,0,0,0,1,0,0,0,0,0,0,0
Baeolophus inornatus,0,0,0,1,0,0,0,0,0,0,0
Baeolophus ridgwayi,0,0,0,1,0,0,0,0,0,0,0
Baeolophus wollweberi,0,0,0,1,0,0,0,0,0,0,0
Baeopogon clamans,0,0,1,0,0,0,0,0,0,0,0
Baeopogon indicator,0,0,1,0,0,0,0,0,0,0,0
Bambusicola fytchii,0,0,0,0,0,1,0,0,0,0,0
Bambusicola sonorivox,0,0,0,0,0,1,0,0,0,0,0
Bleda canicapillus,0,0,1,0,0,0,0,0,0,0,0
Bleda eximius,0,0,1,0,0,0,0,0,0,0,0
Bleda notatus,0,0,1,0,0,0,0,0,0,0,0
Bleda syndactylus,0,0,1,0,0,0,0,0,0,0,0
Blythipicus rubiginosus,0,0,0,0,0,1,0,0,0,0,0
Bonasa umbellus,0,0,0,1,0,0,0,0,0,0,0
Brachypodius priocephalus,0,0,0,0,0,1,0,0,0,0,0
Brachypteryx goodfellowi,0,0,0,0,0,1,0,0,0,0,0
Brachypteryx hyperythra,0,0,0,0,0,0,0,0,1,0,0
Brachypteryx montana,0,0,0,0,0,1,0,0,0,0,0
Bradypterus baboecala,0,0,1,0,0,0,0,0,0,0,0
Bradypterus bangwaensis,0,0,1,0,0,0,0,0,0,0,0
Bradypterus brunneus,0,0,1,0,0,0,0,0,0,0,0
Bradypterus carpalis,0,0,1,0,0,0,0,0,0,0,0
Bradypterus cinnamomeus,0,0,1,0,0,0,0,0,0,0,0
Bradypterus graueri,0,0,1,0,0,0,0,0,0,0,0
Bradypterus lopezi,0,0,1,0,0,0,0,0,0,0,0
Callacanthis burtoni,0,0,0,0,0,0,0,0,1,0,0
Caloperdix oculeus,0,0,0,0,0,1,0,0,0,0,0
Calyptocichla serinus,0,0,1,0,0,0,0,0,0,0,0
Campephaga flava,0,0,1,0,0,0,0,0,0,0,0
Campephaga petiti,0,0,1,0,0,0,0,0,0,0,0
Campephilus gayaquilensis,0,0,0,1,0,0,0,0,0,0,0
Campephilus guatemalensis,0,0,0,1,0,0,0,0,0,0,0
Campephilus haematogaster,0,0,0,1,0,0,0,0,0,0,0
Campephilus imperialis,0,0,0,1,0,0,0,0,0,0,0
Campephilus leucopogon,0,0,0,1,0,0,0,0,0,0,0
Campephilus magellanicus,0,0,0,1,0,0,0,0,0,0,0
Campephilus melanoleucos,0,0,0,1,0,0,0,0,0,0,0
Campephilus pollens,0,0,0,1,0,0,0,0,0,0,0
Campephilus principalis,0,0,0,1,0,0,0,0,0,0,0
Campephilus rubricollis,0,0,0,1,0,0,0,0,0,0,0
Campethera abingoni,0,0,1,0,0,0,0,0,0,0,0
Campethera bennettii,0,0,1,0,0,0,0,0,0,0,0
Campethera cailliautii,0,0,1,0,0,0,0,0,0,0,0
Campethera maculosa,0,0,1,0,0,0,0,0,0,0,0
Campethera mombassica,0,0,1,0,0,0,0,0,0,0,0
Campethera notata,0,0,1,0,0,0,0,0,0,0,0
Campethera nubica,0,0,1,0,0,0,0,0,0,0,0
Campethera punctuligera,0,0,1,0,0,0,0,0,0,0,0
Campethera scriptoricauda,0,0,1,0,0,0,0,0,0,0,0
Campethera tullbergi,0,0,1,0,0,0,0,0,0,0,0
Campicoloides bifasciatus,0,0,1,0,0,0,0,0,0,0,0
Campochaera sloetii,1,0,0,0,0,0,0,0,0,0,0
Carduelis citrinella,0,1,0,0,0,0,0,0,0,0,0
Carpodacus formosanus,0,0,0,0,0,1,0,0,0,0,0
Carpodacus roborowskii,0,0,0,0,0,0,0,0,0,0,1
Carpodacus rodochroa,0,0,0,0,0,0,0,0,1,0,0
Carpodacus sillemi,0,0,0,0,0,0,0,0,0,0,1
Carpodacus thura,0,0,0,0,0,0,0,0,1,0,0
Carpodacus trifasciatus,0,0,0,0,0,0,0,0,0,1,0
Catharus aurantiirostris,0,0,0,1,0,0,0,0,0,0,0
Catharus dryas,0,0,0,1,0,0,0,0,0,0,0
Catharus frantzii,0,0,0,1,0,0,0,0,0,0,0
Catharus fuscater,0,0,0,1,0,0,0,0,0,0,0
Catharus gracilirostris,0,0,0,1,0,0,0,0,0,0,0
Catharus guttatus,0,0,0,1,0,0,0,0,0,0,0
Catharus mexicanus,0,0,0,1,0,0,0,0,0,0,0
Catharus occidentalis,0,0,0,1,0,0,0,0,0,0,0
Catreus wallichii,0,0,0,0,0,0,0,0,1,0,0
Ceblepyris graueri,0,0,1,0,0,0,0,0,0,0,0
Ceblepyris pectoralis,0,0,1,0,0,0,0,0,0,0,0
Celebesica abbotti,0,0,0,0,0,1,0,0,0,0,0
Celeus castaneus,0,0,0,1,0,0,0,0,0,0,0
Celeus elegans,0,0,0,1,0,0,0,0,0,0,0
Celeus flavescens,0,0,0,1,0,0,0,0,0,0,0
Celeus flavus,0,0,0,1,0,0,0,0,0,0,0
Celeus grammicus,0,0,0,1,0,0,0,0,0,0,0
Celeus loricatus,0,0,0,1,0,0,0,0,0,0,0
Celeus lugubris,0,0,0,1,0,0,0,0,0,0,0
Celeus obrieni,0,0,0,1,0,0,0,0,0,0,0
Celeus spectabilis,0,0,0,1,0,0,0,0,0,0,0
Celeus torquatus,0,0,0,1,0,0,0,0,0,0,0
Celeus undatus,0,0,0,1,0,0,0,0,0,0,0
Centrocercus minimus,0,0,0,1,0,0,0,0,0,0,0
Centrocercus urophasianus,0,0,0,1,0,0,0,0,0,0,0
Cercotrichas galactotes,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas hartlaubi,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas leucophrys,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas paena,0,0,1,0,0,0,0,0,0,0,0
Certhia americana,0,0,0,1,0,0,0,0,0,0,0
Certhia brachydactyla,0,1,0,0,0,0,0,0,0,0,0
Certhia discolor,0,0,0,0,0,0,0,0,1,0,0
Certhia manipurensis,0,0,0,0,0,1,0,0,0,0,0
Certhia nipalensis,0,0,0,0,0,0,0,0,1,0,0
Certhia tianquanensis,0,0,0,0,0,0,0,0,0,1,0
Chamaea fasciata,0,0,0,1,0,0,0,0,0,0,0
Chamaetylas choloensis,0,0,1,0,0,0,0,0,0,0,0
Chamaetylas fuelleborni,0,0,1,0,0,0,0,0,0,0,0
Chamaetylas poliocephala,0,0,1,0,0,0,0,0,0,0,0
Chamaetylas poliophrys,0,0,1,0,0,0,0,0,0,0,0
Chlamydochaera jefferyi,0,0,0,0,0,1,0,0,0,0,0
Chloris monguilloti,0,0,0,0,0,1,0,0,0,0,0
Chlorocichla falkensteini,0,0,1,0,0,0,0,0,0,0,0
Chlorocichla flaviventris,0,0,1,0,0,0,0,0,0,0,0
Chlorocichla simplex,0,0,1,0,0,0,0,0,0,0,0
Chlorodrepanis stejnegeri,0,0,0,1,0,0,0,0,0,0,0
Chlorodrepanis virens,0,0,0,1,0,0,0,0,0,0,0
Chlorophonia cyanea,0,0,0,1,0,0,0,0,0,0,0
Chlorophonia flavirostris,0,0,0,1,0,0,0,0,0,0,0
Chlorophonia occipitalis,0,0,0,1,0,0,0,0,0,0,0
Chrysocolaptes haematribon,0,0,0,0,0,1,0,0,0,0,0
Chrysocolaptes lucidus,0,0,0,0,0,1,0,0,0,0,0
Chrysophlegma mentale,0,0,0,0,0,1,0,0,0,0,0
Chrysophlegma miniaceum,0,0,0,0,0,1,0,0,0,0,0
Cichladusa guttata,0,0,1,0,0,0,0,0,0,0,0
Cichlopsis leucogenys,0,0,0,1,0,0,0,0,0,0,0
Cincloramphus cruralis,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus macrurus,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus mathewsi,1,0,0,0,0,0,0,0,0,0,0
Cissa hypoleuca,0,0,0,0,0,1,0,0,0,0,0
Cissa jefferyi,0,0,0,0,0,1,0,0,0,0,0
Cissa thalassina,0,0,0,0,0,1,0,0,0,0,0
Colaptes atricollis,0,0,0,1,0,0,0,0,0,0,0
Colaptes auratus,0,0,0,1,0,0,0,0,0,0,0
Colaptes auricularis,0,0,0,1,0,0,0,0,0,0,0
Colaptes campestris,0,0,0,1,0,0,0,0,0,0,0
Colaptes chrysoides,0,0,0,1,0,0,0,0,0,0,0
Colaptes fernandinae,0,0,0,1,0,0,0,0,0,0,0
Colaptes melanochloros,0,0,0,1,0,0,0,0,0,0,0
Colaptes pitius,0,0,0,1,0,0,0,0,0,0,0
Colaptes punctigula,0,0,0,1,0,0,0,0,0,0,0
Colaptes rivolii,0,0,0,1,0,0,0,0,0,0,0
Colaptes rubiginosus,0,0,0,1,0,0,0,0,0,0,0
Colaptes rupicola,0,0,0,1,0,0,0,0,0,0,0
Copsychus albospecularis,0,0,1,0,0,0,0,0,0,0,0
Copsychus mindanensis,0,0,0,0,0,1,0,0,0,0,0
Coracina atriceps,0,0,0,0,0,1,0,0,0,0,0
Coracina bicolor,0,0,0,0,0,1,0,0,0,0,0
Coracina boyeri,1,0,0,0,0,0,0,0,0,0,0
Coracina caeruleogrisea,1,0,0,0,0,0,0,0,0,0,0
Coracina caledonica,1,0,0,0,0,0,0,0,0,0,0
Coracina larvata,0,0,0,0,0,1,0,0,0,0,0
Coracina leucopygia,0,0,0,0,0,1,0,0,0,0,0
Coracina lineata,1,0,0,0,0,0,0,0,0,0,0
Coracina longicauda,1,0,0,0,0,0,0,0,0,0,0
Coracina macei,0,0,0,0,0,1,0,0,0,0,0
Coracina maxima,1,0,0,0,0,0,0,0,0,0,0
Coracina novaehollandiae,1,0,0,0,0,0,0,0,0,0,0
Coracina papuensis,1,0,0,0,0,0,0,0,0,0,0
Coracina personata,0,0,0,0,0,1,0,0,0,0,0
Coracina striata,0,0,0,0,0,1,0,0,0,0,0
Coracina temminckii,0,0,0,0,0,1,0,0,0,0,0
Coracina welchmani,1,0,0,0,0,0,0,0,0,0,0
Corvus albicollis,0,0,1,0,0,0,0,0,0,0,0
Corvus albus,0,0,1,0,0,0,0,0,0,0,0
Corvus bennetti,1,0,0,0,0,0,0,0,0,0,0
Corvus brachyrhynchos,0,0,0,1,0,0,0,0,0,0,0
Corvus capensis,0,0,1,0,0,0,0,0,0,0,0
Corvus coronoides,1,0,0,0,0,0,0,0,0,0,0
Corvus crassirostris,0,0,1,0,0,0,0,0,0,0,0
Corvus cryptoleucus,0,0,0,1,0,0,0,0,0,0,0
Corvus edithae,0,0,1,0,0,0,0,0,0,0,0
Corvus enca,0,0,0,0,0,1,0,0,0,0,0
Corvus florensis,0,0,0,0,0,1,0,0,0,0,0
Corvus hawaiiensis,0,0,0,1,0,0,0,0,0,0,0
Corvus imparatus,0,0,0,1,0,0,0,0,0,0,0
Corvus insularis,1,0,0,0,0,0,0,0,0,0,0
Corvus jamaicensis,0,0,0,1,0,0,0,0,0,0,0
Corvus leucognaphalus,0,0,0,1,0,0,0,0,0,0,0
Corvus meeki,1,0,0,0,0,0,0,0,0,0,0
Corvus mellori,1,0,0,0,0,0,0,0,0,0,0
Corvus moneduloides,1,0,0,0,0,0,0,0,0,0,0
Corvus nasicus,0,0,0,1,0,0,0,0,0,0,0
Corvus orru,1,0,0,0,0,0,0,0,0,0,0
Corvus ossifragus,0,0,0,1,0,0,0,0,0,0,0
Corvus palmarum,0,0,0,1,0,0,0,0,0,0,0
Corvus sinaloae,0,0,0,1,0,0,0,0,0,0,0
Corvus tasmanicus,1,0,0,0,0,0,0,0,0,0,0
Corvus tristis,1,0,0,0,0,0,0,0,0,0,0
Corvus typicus,0,0,0,0,0,1,0,0,0,0,0
Corvus validus,0,0,0,0,0,1,0,0,0,0,0
Corvus violaceus,0,0,0,0,0,1,0,0,0,0,0
Corvus woodfordi,1,0,0,0,0,0,0,0,0,0,0
Cossypha albicapillus,0,0,1,0,0,0,0,0,0,0,0
Cossypha cyanocampter,0,0,1,0,0,0,0,0,0,0,0
Cossypha dichroa,0,0,1,0,0,0,0,0,0,0,0
Cossypha heuglini,0,0,1,0,0,0,0,0,0,0,0
Cossypha natalensis,0,0,1,0,0,0,0,0,0,0,0
Cossypha niveicapilla,0,0,1,0,0,0,0,0,0,0,0
Cossypha semirufa,0,0,1,0,0,0,0,0,0,0,0
Cossyphicula roberti,0,0,1,0,0,0,0,0,0,0,0
Coturnix novaezelandiae,1,0,0,0,0,0,0,0,0,0,0
Coturnix pectoralis,1,0,0,0,0,0,0,0,0,0,0
Criniger barbatus,0,0,1,0,0,0,0,0,0,0,0
Criniger calurus,0,0,1,0,0,0,0,0,0,0,0
Criniger chloronotus,0,0,1,0,0,0,0,0,0,0,0
Criniger ndussumensis,0,0,1,0,0,0,0,0,0,0,0
Criniger olivaceus,0,0,1,0,0,0,0,0,0,0,0
Crithagra albogularis,0,0,1,0,0,0,0,0,0,0,0
Crithagra atrogularis,0,0,1,0,0,0,0,0,0,0,0
Crithagra burtoni,0,0,1,0,0,0,0,0,0,0,0
Crithagra capistrata,0,0,1,0,0,0,0,0,0,0,0
Crithagra citrinelloides,0,0,1,0,0,0,0,0,0,0,0
Crithagra citrinipectus,0,0,1,0,0,0,0,0,0,0,0
Crithagra dorsostriata,0,0,1,0,0,0,0,0,0,0,0
Crithagra flaviventris,0,0,1,0,0,0,0,0,0,0,0
Crithagra gularis,0,0,1,0,0,0,0,0,0,0,0
Crithagra hyposticta,0,0,1,0,0,0,0,0,0,0,0
Crithagra leucopygia,0,0,1,0,0,0,0,0,0,0,0
Crithagra mennelli,0,0,1,0,0,0,0,0,0,0,0
Crithagra mozambica,0,0,1,0,0,0,0,0,0,0,0
Crithagra reichardi,0,0,1,0,0,0,0,0,0,0,0
Crithagra striolata,0,0,1,0,0,0,0,0,0,0,0
Crithagra sulphurata,0,0,1,0,0,0,0,0,0,0,0
Crossoptilon crossoptilon,0,0,0,0,0,0,0,0,0,1,0
Crossoptilon harmani,0,0,0,0,0,0,0,0,1,0,0
Crossoptilon mantchuricum,0,0,0,0,1,0,0,0,0,0,0
Crypsirina temia,0,0,0,0,0,1,0,0,0,0,0
Cutia legalleni,0,0,0,0,0,1,0,0,0,0,0
Cyanistes teneriffae,0,0,1,0,0,0,0,0,0,0,0
Cyanocitta cristata,0,0,0,1,0,0,0,0,0,0,0
Cyanocitta stelleri,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax affinis,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax beecheii,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax cayanus,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax chrysops,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax cristatellus,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax cyanomelas,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax cyanopogon,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax dickeyi,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax heilprini,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax melanocyaneus,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax mystacalis,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax sanblasianus,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax violaceus,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax yncas,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax yucatanicus,0,0,0,1,0,0,0,0,0,0,0
Cyanoderma erythropterum,0,0,0,0,0,1,0,0,0,0,0
Cyanoderma melanothorax,0,0,0,0,0,1,0,0,0,0,0
Cyanoderma pyrrhops,0,0,0,0,0,0,0,0,1,0,0
Cyanograucalus azureus,0,0,1,0,0,0,0,0,0,0,0
Cyanolyca argentigula,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca armillata,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca cucullata,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca mirabilis,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca nanus,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca pulchra,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca pumilo,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca turcosa,0,0,0,1,0,0,0,0,0,0,0
Cyanolyca viridicyanus,0,0,0,1,0,0,0,0,0,0,0
Cyornis caerulatus,0,0,0,0,0,1,0,0,0,0,0
Cyornis concretus,0,0,0,0,0,1,0,0,0,0,0
Cyornis hainanus,0,0,0,0,0,1,0,0,0,0,0
Cyornis herioti,0,0,0,0,0,1,0,0,0,0,0
Cyornis olivaceus,0,0,0,0,0,1,0,0,0,0,0
Cyornis omissus,0,0,0,0,0,1,0,0,0,0,0
Cyornis pallidipes,0,0,0,0,0,1,0,0,0,0,0
Cyornis rubeculoides,0,0,0,0,0,1,0,0,0,0,0
Cyornis ruficauda,0,0,0,0,0,1,0,0,0,0,0
Cyornis rufigastra,0,0,0,0,0,1,0,0,0,0,0
Cyornis superbus,0,0,0,0,0,1,0,0,0,0,0
Cyornis tickelliae,0,0,0,0,0,1,0,0,0,0,0
Cyornis turcosus,0,0,0,0,0,1,0,0,0,0,0
Cyornis umbratilis,0,0,0,0,0,1,0,0,0,0,0
Dendragapus fuliginosus,0,0,0,1,0,0,0,0,0,0,0
Dendragapus obscurus,0,0,0,1,0,0,0,0,0,0,0
Dendrocitta cinerascens,0,0,0,0,0,1,0,0,0,0,0
Dendrocopos assimilis,0,0,0,0,0,0,0,1,0,0,0
Dendrocopos atratus,0,0,0,0,0,1,0,0,0,0,0
Dendrocopos himalayensis,0,0,0,0,0,0,0,0,1,0,0
Dendroperdix sephaena,0,0,1,0,0,0,0,0,0,0,0
Dendropicos abyssinicus,0,0,1,0,0,0,0,0,0,0,0
Dendropicos elachus,0,0,1,0,0,0,0,0,0,0,0
Dendropicos elliotii,0,0,1,0,0,0,0,0,0,0,0
Dendropicos fuscescens,0,0,1,0,0,0,0,0,0,0,0
Dendropicos gabonensis,0,0,1,0,0,0,0,0,0,0,0
Dendropicos goertae,0,0,1,0,0,0,0,0,0,0,0
Dendropicos griseocephalus,0,0,1,0,0,0,0,0,0,0,0
Dendropicos obsoletus,0,0,1,0,0,0,0,0,0,0,0
Dendropicos poecilolaemus,0,0,1,0,0,0,0,0,0,0,0
Dendropicos stierlingi,0,0,1,0,0,0,0,0,0,0,0
Dicrurus adsimilis,0,0,1,0,0,0,0,0,0,0,0
Dicrurus atripennis,0,0,1,0,0,0,0,0,0,0,0
Dicrurus balicassius,0,0,0,0,0,1,0,0,0,0,0
Dicrurus bracteatus,1,0,0,0,0,0,0,0,0,0,0
Dicrurus forficatus,0,0,1,0,0,0,0,0,0,0,0
Dicrurus ludwigii,0,0,1,0,0,0,0,0,0,0,0
Dicrurus megarhynchus,1,0,0,0,0,0,0,0,0,0,0
Dicrurus modestus,0,0,1,0,0,0,0,0,0,0,0
Dicrurus sumatranus,0,0,0,0,0,1,0,0,0,0,0
Dinopium javanense,0,0,0,0,0,1,0,0,0,0,0
Dryobates nuttallii,0,0,0,1,0,0,0,0,0,0,0
Dryobates pubescens,0,0,0,1,0,0,0,0,0,0,0
Dryobates scalaris,0,0,0,1,0,0,0,0,0,0,0
Dumetia hyperythra,0,0,0,0,0,1,0,0,0,0,0
Edolisoma anale,1,0,0,0,0,0,0,0,0,0,0
